Date,Open,High,Low,Close,Adj Close,Volume
2012-08-03,89.430000,89.559998,88.470001,89.389999,64.064590,1046300
2012-08-06,89.610001,89.839996,88.940002,88.989998,63.777931,837900
2012-08-07,89.440002,90.500000,89.120003,90.320000,64.731133,1330200
2012-08-08,90.250000,91.000000,89.709999,90.889999,65.139641,1084200
2012-08-09,90.480003,90.629997,90.000000,90.540001,64.888809,1066900
2012-08-10,90.349998,91.150002,90.199997,91.029999,65.239975,1010900
2012-08-13,90.709999,91.180000,90.540001,91.120003,65.304482,1079700
2012-08-14,91.190002,91.680000,90.900002,91.349998,65.469307,1086300
2012-08-15,90.989998,91.690002,90.720001,91.510002,65.584000,763400
2012-08-16,91.519997,92.239998,91.330002,92.050003,65.970985,4808000
2012-08-17,92.339996,92.500000,91.779999,92.400002,66.221840,1574200
2012-08-20,92.120003,93.500000,92.120003,93.320000,66.881180,1570200
2012-08-21,93.709999,93.989998,93.110001,93.800003,67.225182,1868700
2012-08-22,93.470001,93.500000,92.669998,93.029999,66.673340,1614100
2012-08-23,93.000000,93.000000,91.699997,92.199997,66.078476,1423600
2012-08-24,91.760002,92.680000,91.699997,92.449997,66.257660,1483800
2012-08-27,92.639999,93.000000,92.209999,92.279999,66.135841,945600
2012-08-28,91.860001,92.699997,91.379997,92.480003,66.279182,1817900
2012-08-29,92.550003,92.750000,91.820000,91.919998,65.877815,969800
2012-08-30,91.029999,91.320000,90.519997,90.930000,65.885063,908300
2012-08-31,91.370003,91.760002,90.769997,91.139999,66.037224,1087400
2012-09-04,91.190002,91.389999,90.010002,90.529999,65.595253,959200
2012-09-05,90.440002,91.580002,90.339996,91.529999,66.319817,1401900
2012-09-06,92.000000,92.849998,91.599998,92.830002,67.261757,1220600
2012-09-07,92.809998,92.980003,92.029999,92.180000,66.790810,1161600
2012-09-10,91.790001,92.480003,91.720001,92.029999,66.682076,719400
2012-09-11,92.000000,92.500000,91.830002,92.239998,66.834267,969100
2012-09-12,92.489998,92.940002,92.260002,92.419998,66.964661,1086400
2012-09-13,92.430000,93.449997,91.949997,93.129997,67.479095,1325200
2012-09-14,93.139999,93.199997,92.019997,92.519997,67.037125,1782200
2012-09-17,92.290001,92.949997,92.000000,92.209999,66.812531,4665600
2012-09-18,91.930000,92.089996,91.059998,91.769997,66.493706,1339200
2012-09-19,91.720001,92.349998,91.559998,92.239998,66.834267,1353300
2012-09-20,91.730003,91.889999,91.120003,91.180000,66.066216,1574100
2012-09-21,91.349998,91.739998,91.050003,91.290001,66.145912,2995900
2012-09-24,91.349998,91.489998,90.389999,91.040001,65.964775,1503800
2012-09-25,91.199997,91.889999,91.050003,91.500000,66.298080,1899400
2012-09-26,91.489998,92.669998,91.489998,91.910004,66.595177,1185600
2012-09-27,92.180000,92.500000,91.430000,92.459999,66.993660,1424400
2012-09-28,92.279999,93.699997,92.080002,93.379997,67.660248,1780600
2012-10-01,93.370003,93.980003,93.059998,93.440002,67.703751,1707700
2012-10-02,93.550003,93.699997,92.279999,93.160004,67.500870,1382100
2012-10-03,93.279999,93.650002,92.830002,93.089996,67.450142,1326800
2012-10-04,93.580002,94.589996,93.500000,94.519997,68.486252,1359300
2012-10-05,94.800003,94.900002,94.129997,94.370003,68.377602,1172800
2012-10-08,94.199997,94.589996,94.000000,94.010002,68.116737,628600
2012-10-09,94.070000,94.820000,93.709999,93.720001,67.906631,806100
2012-10-10,93.820000,93.820000,92.480003,92.709999,67.174797,1000700
2012-10-11,93.190002,93.440002,92.699997,92.720001,67.182045,533400
2012-10-12,93.059998,93.889999,92.500000,92.959999,67.355957,969200
2012-10-15,92.750000,92.940002,92.419998,92.500000,67.022644,1258100
2012-10-16,92.860001,93.410004,92.709999,93.370003,67.653008,1162800
2012-10-17,93.629997,93.980003,93.239998,93.580002,67.805183,1004600
2012-10-18,93.580002,94.400002,93.190002,94.320000,68.341362,1165700
2012-10-19,94.209999,94.300003,92.690002,92.889999,67.305214,1518900
2012-10-22,92.650002,93.110001,92.000000,92.769997,67.218292,762800
2012-10-23,92.279999,92.440002,91.389999,91.949997,66.624153,1222400
2012-10-24,92.089996,94.959999,92.089996,93.919998,68.051521,2011200
2012-10-25,94.519997,94.730003,92.809998,93.550003,67.783440,1111700
2012-10-26,92.860001,93.680000,92.260002,92.839996,67.268990,1469000
2012-10-31,94.449997,94.540001,93.029999,93.669998,67.870384,1171500
2012-11-01,93.769997,94.860001,93.660004,94.190002,68.247169,1189100
2012-11-02,94.500000,94.800003,93.500000,93.720001,67.906631,2363400
2012-11-05,93.489998,94.400002,92.849998,94.099998,68.181976,1712100
2012-11-06,94.150002,95.919998,93.879997,94.870003,68.739891,1879700
2012-11-07,92.489998,93.370003,89.379997,91.150002,66.044464,3714000
2012-11-08,89.269997,90.980003,89.269997,89.919998,65.153252,1773500
2012-11-09,89.500000,90.760002,89.160004,89.980003,65.196732,1782200
2012-11-12,89.820000,90.139999,89.089996,89.809998,65.073555,1550800
2012-11-13,89.070000,91.070000,89.000000,90.180000,65.341644,2297200
2012-11-14,90.470001,90.589996,87.879997,88.110001,63.841759,1932600
2012-11-15,88.019997,88.540001,87.080002,87.580002,63.457767,1551800
2012-11-16,87.830002,88.750000,87.209999,88.459999,64.095375,1651800
2012-11-19,88.830002,90.500000,88.650002,90.480003,65.559021,2026200
2012-11-20,90.489998,90.580002,89.320000,90.180000,65.341644,1516000
2012-11-21,90.500000,90.790001,90.309998,90.510002,65.580772,860300
2012-11-23,90.739998,91.900002,90.669998,91.830002,66.537178,652300
2012-11-26,92.309998,93.360001,91.750000,93.290001,67.595047,2015200
2012-11-27,93.120003,94.000000,92.730003,93.099998,67.457390,1824100
2012-11-28,92.550003,93.699997,91.849998,93.699997,67.892128,1621900
